Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 2),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Warm-Cache Payload (gesamt),H1,78.71,39.22,39.49,100.7,1889.0,0.000011,Ja,-0.511,groß,16.08,64.21,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Warm-Cache Netzwerk-Payload,H1,78.71,39.22,39.49,100.7,1889.0,0.000011,Ja,-0.511,groß,16.08,64.21,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Warm-Cache Requests (gesamt),H1,125.0,100.0,25.0,25.0,2500.0,0.000000,Ja,-1.0,groß,24.5,27.0,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Warm-Cache Netzwerk-Requests,H1,119.0,96.0,23.0,24.0,2500.0,0.000000,Ja,-1.0,groß,22.0,25.0,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Gecachte Requests,H1,6.0,4.0,2.0,50.0,2500.0,0.000000,Ja,-1.0,groß,2.0,2.0,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Cache-Hit-Rate,H1,4.8,4.0,0.8,20.0,2500.0,0.000000,Ja,-1.0,groß,0.7,0.8,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Payload-Reduktion (Cold→Warm),H1,93.45,95.5,-2.05,-2.1,872.0,0.008182,Ja,0.302,mittel,-4.2,-0.15,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Warm-Cache Navigationszeit,H1,3304.5,1365.0,1939.5,142.1,2498.0,0.000000,Ja,-0.998,groß,1598.0,2275.0,Legacy (Baseline 2)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Warm-Cache TTFB,H1,0.0,117.4,-117.4,-100.0,0.0,0.000000,Ja,1.0,groß,-143.25,-107.0,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Warm-Cache DOMContentLoaded,H2,85.5,255.25,-169.75,-66.5,41.0,0.000000,Ja,0.967,groß,-198.2,-140.0,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Warm HTML-Dokument,H1,0.4,17.28,-16.88,-97.7,0.0,0.000000,Ja,1.0,groß,-16.88,-16.87,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Warm JS-Payload,H2,1.37,2.54,-1.17,-46.3,522.0,0.000000,Ja,0.582,groß,-1.85,-0.49,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline2,Warm API-Payload,H1,16.9,19.42,-2.53,-13.0,0.0,0.000000,Ja,1.0,groß,-2.66,-2.4,Kestrel-Kit (Prototyp)
