Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 1),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil
Worst-Case (Stress),worst_case,prototype_vs_baseline,Warm-Cache Payload (gesamt),H1,78.71,39.55,39.16,99.0,1884.0,0.000013,Ja,-0.507,groß,15.61,63.66,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Warm-Cache Netzwerk-Payload,H1,78.71,39.55,39.16,99.0,1884.0,0.000013,Ja,-0.507,groß,15.61,63.66,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Warm-Cache Requests (gesamt),H1,125.0,94.0,31.0,33.0,2500.0,0.000000,Ja,-1.0,groß,30.5,33.0,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Warm-Cache Netzwerk-Requests,H1,119.0,92.0,27.0,29.3,2500.0,0.000000,Ja,-1.0,groß,26.0,29.0,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Gecachte Requests,H1,6.0,2.0,4.0,200.0,2500.0,0.000000,Ja,-1.0,groß,4.0,4.0,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Cache-Hit-Rate,H1,4.8,2.1,2.7,128.6,2500.0,0.000000,Ja,-1.0,groß,2.6,2.7,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Payload-Reduktion (Cold→Warm),H1,93.45,95.3,-1.85,-1.9,945.5,0.033283,Ja,0.244,klein,-4.0,0.05,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Warm-Cache Navigationszeit,H1,3304.5,1361.5,1943.0,142.7,2475.0,0.000000,Ja,-0.98,groß,1589.5,2283.0,Legacy (Baseline 1)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Warm-Cache TTFB,H1,0.0,238.15,-238.15,-100.0,0.0,0.000000,Ja,1.0,groß,-262.95,-225.65,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Warm-Cache DOMContentLoaded,H2,85.5,348.0,-262.5,-75.4,16.0,0.000000,Ja,0.987,groß,-299.66,-233.0,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Warm HTML-Dokument,H1,0.4,18.48,-18.08,-97.8,0.0,0.000000,Ja,1.0,groß,-18.1,-18.06,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Warm JS-Payload,H2,1.37,1.85,-0.48,-26.2,667.0,0.000046,Ja,0.466,mittel,-1.18,0.2,Kestrel-Kit (Prototyp)
Worst-Case (Stress),worst_case,prototype_vs_baseline,Warm API-Payload,H1,16.9,19.17,-2.28,-11.9,0.0,0.000000,Ja,1.0,groß,-2.41,-2.15,Kestrel-Kit (Prototyp)
